No,Name,Link,Commits,Branch,Release,Contributors,Watch,Star,Fork,Data Collection Date
1,Spring Framework,https://github.com/spring-projects/spring-framework,20854,15,178,467,3500,37200,25100,6/22/2020
2,Junit5,https://github.com/junit-team/junit5/,6246,35,47,137,269,3900,881,6/22/2020
3,Apache Kafka,https://github.com/apache/kafka,7570,25,132,661,1100,15800,8400,6/22/2020
4,Apache Lucene-Solr,https://github.com/apache/lucene-solr,33651,148,262,181,323,3500,2400,6/22/2020
5,Dropwizard,https://github.com/dropwizard/dropwizard,5409,13,164,357,441,7600,3200,6/22/2020
6,Checkstyle,https://github.com/checkstyle/checkstyle,9734,3,125,246,215,5600,7600,11/16/2020
7,Hadoop,https://github.com/apache/hadoop,24377,282,339,316,1000,11100,6800,11/16/2020
8,Selenium,https://github.com/SeleniumHQ/selenium,25873,17,126,545,1300,19100,6100,11/16/2020
9,Skywalking,https://github.com/apache/skywalking,6063,9,42,285,833,15200,4500,11/16/2020
10,Signal Android,https://github.com/signalapp/Signal-Android,6446,124,724,213,764,14000,3500,11/16/2020
